indice,name,tokens,error
1,Circular N° 28 del 09 de Julio del 2024,2538,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
2,Resolución Exenta SII N° 64 del 07 de Junio del 2024,1249,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
3,Resolución Exenta SII N° 121 del 19 de Diciembre del 2024,2258,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
4,Resolución Exenta SII N° 117 del 12 de Diciembre del 2024,1623,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
5,Resolución Exenta SII N° 116 del 11 de Diciembre del 2024,1959,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
6,Circular N° 31 del 12 de Julio del 2024,203,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
7,Resolución Exenta SII N° 133 del 26 de Diciembre del 2024,2761,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
8,Circular N° 1 del 09 de Enero del 2024,2622,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
9,Circular N° 8 del 09 de Febrero del 2024,2470,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
10,Circular N° 13 del 11 de Marzo del 2024,2476,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
11,Resolución Exenta SII N° 128 del 26 de Diciembre del 2024,5901,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
12,Circular N° 42 del 10 de Octubre del 2024,2605,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
13,Resolución Exenta SII N° 63 del 06 de Junio del 2024,2545,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
14,Resolución Exenta SII N° 106 del 07 de Noviembre del 2024,549,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
15,Resolución Exenta SII N° 85 del 30 de Agosto del 2024,1210,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
16,Resolución Exenta SII N° 92 del 12 de Septiembre del 2024,1923,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
17,Circular N° 26 del 11 de Junio del 2024,2592,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
18,Circular N° 44 del 10 de Octubre del 2024,1338,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
19,Resolución Exenta SII N° 99 del 11 de Octubre del 2024,1605,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
20,Resolución Exenta SII N° 97 del 10 de Octubre del 2024,2052,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
21,Circular N° 10 del 07 de Marzo del 2024,407,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
22,Resolución Exenta SII N° 126 del 20 de Diciembre del 2024,6006,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
23,Resolución Exenta SII N° 13 del 24 de Enero del 2024,2204,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
24,Resolución Exenta SII N° 56 del 09 de Mayo del 2024,592,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
25,Resolución Exenta SII N° 17 del 31 de Enero del 2024,2049,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
26,Resolución Exenta SII N° 19 del 31 de Enero del 2024,802,Error en lote: Could not import redis python package. Please install it with `pip install redis`.
