nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 6 del 16 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas al Código Tributario por la Ley N° 21.713 en materia de grupos empresariales y el procedimiento de fiscalización unificado. Complementa la Circular N° 12 de 2021.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu6.pdf,circular,No relevante,"El documento presentado tiene errores gramaticales, redactativos y estructurales que afectan su claridad y profesionalismo. Además, faltan detalles específicos sobre procedimientos, plazos y aplicaciones, lo cual genera incertidumbre y no cumple con las normas de negocio.",35.359,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 30 del 06 de Marzo del 2025,"Fija nómina de territorios o jurisdicciones que tienen un régimen fiscal preferencial, conforme al Artículo 41 H de la Ley sobre Impuesto a la Renta",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso30.pdf,resolucion,No relevante,"El normativo se centra en modificaciones al código tributario y procesos de intercambio de información con otros países, no directamente relacionados con los temas especificados como boletas, comprobante electrónico o sistemas de cumplimiento normativo automatizado.",23.41,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 10 del 16 de Enero del 2025,Delega facultad que indica en la funcionaria que se individualiza,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso10.pdf,resolucion,No relevante,"La nueva normativa se centra en el juzgado de letras del trabajo de San Bernardo y en el absolver posiciones en representación del servicio de impuestos internos, no relacionándose directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado.",20.178,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 18 del 21 de Febrero del 2025,"Imparte instrucciones sobre la competencia de las Unidades del Servicio para realizar actuaciones que indica de conformidad con las disposiciones del N° 11 de la letra B) del artículo 6°; inciso primero del artículo 65 bis y artículo 65 ter, todos del Código Tributario. Complementa Circular N° 41 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu18.pdf,circular,Relevante,"La nueva normativa se centra en instrucciones técnicas para la realización de actuaciones vía medios electrónicos y la determinación de competencias regionales, lo cual afecta procesos generales de fiscalización. Aunque no menciona temas específicos como boletas o comprobante electrónico directamente, el uso de electronic records (art. 16) está relacionado con comprobante electrónico, lo que lo hace relevante para el sistema.",31.253,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 52 del 25 de Abril del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso52.pdf,resolucion,No relevante,"La nueva normativa se centra en el modelo de operación de contabilidad electrónica y autoriza ciertos contribuyentes a realizar transacciones a partir del año 2025. Mientras que menciona temas relacionados con el registro de compra, venta y cumplimiento tributario, no hay una conexión clara con el sistema de cumplimiento normativo automatizado requerido para una fintech. No se detallan detalles específicos sobre la integración con sistemas de欺诈ores, revisiónes o actualizaciones necesarias para el sistema de cumplimiento.",37.973,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso56.pdf,resolucion,Relevante,"El documento proporciona instrucciones técnicas y guías para interactuar con varios sistemas relacionados con el SII, vehicle management, defunciones, etc., lo que lo hace relevante para las funciones de administación pública y la gestión efectiva de información.",36.637,0,0,0,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,"Aprueba Convenio de Intercambio de Información y Colaboración entre la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública y el Servicio de Impuestos Internos.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso82.pdf,resolucion,Relevante,"El documento aborda la transparencia y protección de datos personales en procesos tributarios, lo cual es relevante para empresas que interactúen con terceros sector y necesiten informar a sus clientes o clientes de tercera parte sobre procesos legales.",37.408,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 44 del 12 de Junio del 2025,Tablas de impuesto único de segunda categoría para el mes de julio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion De Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu44.pdf,circular,Relevante,"La nueva normativa se centra en los cálculos de impuestos específicos, como el Impuesto de Utilidad del Sector (IUS) y la relativización de rentas, lo cual afecta directamente al proceso de cálculo y relativización de tributes en sistemas detributarios. Esto es relevante para un sistema de cumplimiento tributario automatizado, ya que involucra aspectos operativos de cálculo y ajustes tributarios.",35.277,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 17 del 12 de Febrero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de marzo 2025.,Subdireccion De Fiscalizacion Departamento De Diseno De Procedimientos,https://www.sii.cl/normativa_legislacion/circulares/2025/circu17.pdf,circular,Relevante,"La nueva normativa se centra en el cálculo de reajustes y multas para tributes, lo cual directly afecta la obligación de cumplir con los impuestos, un aspecto crítico del sistema de cumplimiento tributario.",27.368,0,0,0,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Establece procedimiento para efectuar denuncias anónimas de conformidad al artículo 100 quáter del código tributario,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso59.pdf,resolucion,Relevante,"El normativo se centra en procedimientos para denunciar anónimos relacionados con la evadección tributaria, lo cual está directamente relacionado con los temas de denuncias anónimas y boletas, entre otros.",27.411,0,0,0,No Relevante,Contiene 'donaciones',2025,1,1
