nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 6 del 16 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas al Código Tributario por la Ley N° 21.713 en materia de grupos empresariales y el procedimiento de fiscalización unificado. Complementa la Circular N° 12 de 2021.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu6.pdf,circular,Relevante,"La normativa introduce nuevos conceptos y procedimientos que se relacionan directamente con el ""cumplimiento tributario"". Específicamente, define la ""sostenibilidad tributaria"" como un marco de cooperación y transparencia, establece un sistema de certificación para los contribuyentes y crea un ""procedimiento de fiscalización unificado"". Estos elementos modifican la forma en que el SII interactúa y fiscaliza a los contribuyentes, lo cual es información crucial para un sistema que automatiza el cumplimiento de dichas obligaciones.",21.674,7144,114,8765,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 30 del 06 de Marzo del 2025,"Fija nómina de territorios o jurisdicciones que tienen un régimen fiscal preferencial, conforme al Artículo 41 H de la Ley sobre Impuesto a la Renta",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso30.pdf,resolucion,No Relevante,"La normativa se limita a fijar una nómina de jurisdicciones con regímenes fiscales preferenciales. Este es un tema de tributación internacional que no se relaciona directamente con los procesos operativos de boletas, comprobantes electrónicos, registros de compra/venta, medios de pago o POS que el sistema automatizado gestiona.",16.367,1503,77,2847,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 10 del 16 de Enero del 2025,Delega facultad que indica en la funcionaria que se individualiza,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso10.pdf,resolucion,No Relevante,"La normativa se refiere a un procedimiento interno del SII, delegando la representación en un juicio específico a una funcionaria. No modifica procesos generales de cumplimiento tributario ni se relaciona con los temas clave definidos (boletas, comprobantes electrónicos, etc.), por lo que no afecta el sistema de cumplimiento automatizado.",15.885,935,76,2146,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 18 del 21 de Febrero del 2025,"Imparte instrucciones sobre la competencia de las Unidades del Servicio para realizar actuaciones que indica de conformidad con las disposiciones del N° 11 de la letra B) del artículo 6°; inciso primero del artículo 65 bis y artículo 65 ter, todos del Código Tributario. Complementa Circular N° 41 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu18.pdf,circular,No Relevante,"La normativa establece procedimientos internos del SII relacionados con la competencia territorial de sus unidades para llevar a cabo fiscalizaciones y tramitar recursos. No modifica directamente las obligaciones ni los procesos de cumplimiento tributario automatizado, como la emisión de boletas, comprobantes electrónicos o la gestión de registros de compra y venta.",18.45,2765,74,4273,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 52 del 25 de Abril del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso52.pdf,resolucion,No Relevante,"La normativa se limita a fijar una nómina de contribuyentes específicos que son autorizados para utilizar el modelo de contabilidad electrónica. No establece ni modifica reglas generales sobre cumplimiento tributario, comprobantes electrónicos u otros temas relevantes que requieran una actualización en la lógica del sistema de cumplimiento automatizado.",16.134,2341,73,3649,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso56.pdf,resolucion,Relevante,"Aunque se trata de un convenio interinstitucional, la normativa regula el intercambio de información directamente relacionada con temas clave para el sistema, como ""inicio de actividades"", ""término de giro"" y ""representantes"" de los contribuyentes. Estos datos son esenciales para los procesos de validación y cumplimiento tributario automatizado que realiza la fintech.",24.072,8621,82,10540,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,"Aprueba Convenio de Intercambio de Información y Colaboración entre la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública y el Servicio de Impuestos Internos.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso82.pdf,resolucion,No Relevante,"La normativa aprueba un convenio de colaboración e intercambio de información entre el SII y la Unidad Administradora de los Tribunales Tributarios y Aduaneros. Este es un acuerdo institucional que regula procedimientos internos entre organismos del Estado y no modifica directamente las obligaciones o procesos de los contribuyentes relacionados con los temas definidos como relevantes (boletas, registros, medios de pago, etc.).",18.546,3740,90,5112,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 44 del 12 de Junio del 2025,Tablas de impuesto único de segunda categoría para el mes de julio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion De Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu44.pdf,circular,No Relevante,"La normativa establece las tablas de cálculo para el Impuesto Único de Segunda Categoría, que grava las rentas del trabajo dependiente. Este tema no se relaciona directamente con ninguno de los tópicos definidos como relevantes para el sistema de cumplimiento automatizado de la fintech (boletas, medios de pago, comercio electrónico, etc.).",17.213,3661,80,5111,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 17 del 12 de Febrero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de marzo 2025.,Subdireccion De Fiscalizacion Departamento De Diseno De Procedimientos,https://www.sii.cl/normativa_legislacion/circulares/2025/circu17.pdf,circular,Relevante,"La normativa establece los valores de reajustes y multas aplicables a impuestos adeudados, lo cual es un componente esencial del ""cumplimiento tributario"". Un sistema automatizado debe incorporar estas tablas para calcular correctamente las obligaciones de los contribuyentes en caso de pagos fuera de plazo.",15.146,2746,71,3960,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Establece procedimiento para efectuar denuncias anónimas de conformidad al artículo 100 quáter del código tributario,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso59.pdf,resolucion,No Relevante,"La normativa establece un procedimiento interno del SII para la gestión de denuncias anónimas sobre delitos tributarios. Aunque se relaciona de forma general con el cumplimiento tributario, no modifica directamente los procesos operativos, técnicos o de reporte que un sistema automatizado de una fintech debe ejecutar, como la emisión de boletas, registros de compra/venta o medios de pago.",21.377,2991,86,4725,No Relevante,Contiene 'donaciones',2025,1,1
Circular N° 34 del 25 de Abril del 2025,Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 a los artículos 101 y 206 del Código Tributario. Modifica Circular N° 35 de 2022,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu34.pdf,circular,No Relevante,La normativa se enfoca en el régimen sancionatorio y de conducta aplicable a los funcionarios y ex-funcionarios del SII en relación con la probidad y el secreto tributario. No modifica obligaciones ni procedimientos de cumplimiento tributario para los contribuyentes que sean gestionados por el sistema automatizado de la fintech.,19.71,1323,77,2874,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 22 del 11 de Marzo del 2025,Informa tabla de cálculos de reajustes y multas para el mes de abril 2025.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu22.pdf,circular,Relevante,"La normativa establece los valores específicos para el cálculo de reajustes y multas por impuestos adeudados, lo cual es un componente esencial del cumplimiento tributario. Un sistema automatizado para una fintech debe incorporar estas tablas y tasas actualizadas para calcular correctamente los montos a pagar por sus usuarios en caso de mora, asegurando así el cumplimiento preciso de las obligaciones tributarias.",15.545,2833,88,4071,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 71 del 19 de Junio del 2025,"Imparte instrucciones sobre procedimiento para que las empresas certificadoras independientes puedan otorgar certificación anual de sostenibilidad tributaria a los contribuyentes, de acuerdo con el párrafo segundo del N° 18 del artículo 8° del Código Tributario.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso71.pdf,resolucion,Relevante,"La normativa se relaciona directamente con el **cumplimiento tributario**, al establecer un nuevo procedimiento y estándares para la certificación de ""sostenibilidad tributaria"". Define requisitos de gobernanza fiscal, marcos de control y matrices de riesgo que los contribuyentes deben implementar. Un sistema de cumplimiento automatizado debe considerar estos estándares para ayudar a sus clientes a alcanzar dicha certificación y sus beneficios asociados.",29.065,14856,89,16686,No Relevante,Contiene 'cumplimiento tributario',2025,1,1
Resolución Exenta SII N° 46 del 10 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre la Superintendencia de Educación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso46.pdf,resolucion,Relevante,"La normativa detalla en sus anexos el intercambio de información específica y los procesos de validación de documentos tributarios que son centrales para un sistema de cumplimiento automatizado. Afecta directamente a los temas de **comprobantes electrónicos (DTE)**, **boletas** (de honorarios), **registro de compra** y **cumplimiento tributario**, al establecer los mecanismos y datos (vía web service y batch) que el SII utilizará para validar la información de los contribuyentes del sector educacional.",22.825,8308,118,9978,No Relevante,Contiene 'donaciones',2025,1,1
Circular N° 14 del 10 de Febrero del 2025,Tablas de impuesto único de segunda categoría para el mes de marzo de 2025 e información adicional relacionada con dicho tributo.,Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu14.pdf,circular,No Relevante,"La normativa establece las tablas de cálculo para el Impuesto Único de Segunda Categoría, el cual grava las rentas del trabajo dependiente. Este tema no se relaciona directamente con los procesos de emisión de boletas, comprobantes electrónicos, registros de compra/venta, medios de pago o comercio electrónico que son el foco del sistema de cumplimiento automatizado de la fintech.",15.053,3589,87,4928,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 49 del 17 de Abril del 2025,Tramitación de las autodenuncias conforme al artículo 100 sexies del Código Tributario.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso49.pdf,resolucion,No Relevante,"La normativa regula el procedimiento de autodenuncia por posibles delitos tributarios, un proceso correctivo y excepcional que no afecta las operaciones de cumplimiento normativo automatizado, como la emisión de boletas, registros de compra/venta o la declaración periódica de impuestos.",19.958,2119,66,3716,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 43 del 05 de Junio del 2025,"Tabla de Cálculos de Reajustes, Intereses y Multas sobre Pagos Provisionales Mensuales Obligatorios (PPMO) con obligación tributaria anual cumplida, para aplicarse durante el año 2025.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu43.pdf,circular,Relevante,"La normativa se relaciona directamente con el ""cumplimiento tributario"", ya que establece las tablas y metodologías para el cálculo de reajustes, intereses y multas sobre los Pagos Provisionales Mensuales (PPM). Estos cálculos son esenciales para un sistema automatizado que gestione o informe sobre las obligaciones tributarias de los contribuyentes.",14.428,3418,82,4585,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 17 del 07 de Febrero del 2025,Aprueba Addendum al Convenio de Intercambio de Información y Colaboración entre el Servicio Electoral y el Servicio de Impuestos Internos,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso17.pdf,resolucion,No Relevante,"La normativa regula un convenio de colaboración e intercambio de información cartográfica entre el SII y el Servicio Electoral. No se relaciona con ninguno de los temas definidos como relevantes (boletas, comprobantes electrónicos, cumplimiento tributario general, etc.) y no modifica procesos que afecten al sistema de la fintech.",20.464,2546,74,4288,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 45 del 10 de Abril del 2025,"Fija contenido, forma y plazo para dar cumplimiento a la obligación de informar de la superintendencia del medio ambiente, respecto de los proyectos de inversión, en el contexto de la contribución para el desarrollo regional.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso45.pdf,resolucion,No Relevante,"La normativa regula una obligación de información específica de la Superintendencia del Medio Ambiente hacia el SII para fiscalizar la ""contribución para el desarrollo regional"". No modifica ni se relaciona con los procesos de emisión de boletas, comprobantes electrónicos, registros de compra/venta, medios de pago o cualquier otro tema relevante para el sistema de cumplimiento automatizado de la fintech.",18.103,1832,86,3266,No Relevante,No se encontraron reglas de negocio,2025,0,0
