nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 6 del 16 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas al Código Tributario por la Ley N° 21.713 en materia de grupos empresariales y el procedimiento de fiscalización unificado. Complementa la Circular N° 12 de 2021.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu6.pdf,circular,Relevante,"La Circular N° 6 del 16 de Enero del 2025 imparte instrucciones sobre modificaciones al Código Tributario que afectan directamente el cumplimiento tributario, incluyendo la definición y certificación de ""sostenibilidad tributaria"", la creación de registros públicos de empresas certificadoras y transparencia tributaria, y procedimientos de fiscalización unificados para grupos empresariales. Estas materias inciden en los procesos de cumplimiento tributario automatizado de una fintech, ya que pueden requerir adaptaciones en los sistemas para la gestión de certificaciones, registros y procedimientos de fiscalización electrónica, todos temas incluidos en los criterios de relevancia definidos.",3.742,7112,137,7249,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 30 del 06 de Marzo del 2025,"Fija nómina de territorios o jurisdicciones que tienen un régimen fiscal preferencial, conforme al Artículo 41 H de la Ley sobre Impuesto a la Renta",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso30.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa fija una nómina de territorios con régimen fiscal preferencial, lo que no se relaciona directamente con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario operativo, inicio de actividades, medios de pago electrónicos, POS, operadores, comercio electrónico ni PSP. Solo afecta aspectos de fiscalidad internacional y no modifica procesos generales de cumplimiento automatizado de la fintech.",3.173,1479,98,1577,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 10 del 16 de Enero del 2025,Delega facultad que indica en la funcionaria que se individualiza,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso10.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa se refiere únicamente a la delegación de facultades para representar al SII en un juicio laboral específico y no trata temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario general, medios de pago electrónicos, POS, operadores, comercio electrónico ni PSP.",3.005,877,79,956,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 18 del 21 de Febrero del 2025,"Imparte instrucciones sobre la competencia de las Unidades del Servicio para realizar actuaciones que indica de conformidad con las disposiciones del N° 11 de la letra B) del artículo 6°; inciso primero del artículo 65 bis y artículo 65 ter, todos del Código Tributario. Complementa Circular N° 41 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu18.pdf,circular,No Relevante,"La circular regula procedimientos de competencia y fiscalización interna del SII, notificaciones, uso de medios electrónicos para actuaciones administrativas y derechos de los contribuyentes en procesos de fiscalización. No introduce ni modifica disposiciones directamente relacionadas con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, operadores, comercio electrónico ni PSP. No cumple reglas de negocio.",3.307,2715,98,2813,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 52 del 25 de Abril del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso52.pdf,resolucion,No Relevante,"La resolución autoriza a contribuyentes específicos a operar bajo el modelo de contabilidad electrónica y otorga códigos de autorización de libros, pero se limita a individualizaciones y autorizaciones particulares, sin modificar procesos generales ni tratar explícitamente temas como boletas, comprobantes electrónicos, registro de compra/venta, cumplimiento tributario general, medios de pago electrónicos, POS, operadores, comercio electrónico o PSP. No cumple reglas de negocio.",3.407,1908,99,2007,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso56.pdf,resolucion,No Relevante,"La normativa aprueba un convenio de intercambio de información y colaboración entre el Servicio de Registro Civil e Identificación y el SII, enfocado en el traspaso de datos personales, filiación, posesiones efectivas, testamentos, vehículos, discapacidad, defunciones, entre otros. No regula ni modifica directamente procesos generales relacionados con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores, administradores, comercio electrónico ni PSP. Se trata de un acuerdo institucional para intercambio de información, no de una normativa que afecte directamente el sistema de cumplimiento normativo automatizado de la fintech.",6.562,8515,152,8667,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,"Aprueba Convenio de Intercambio de Información y Colaboración entre la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública y el Servicio de Impuestos Internos.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso82.pdf,resolucion,No Relevante,"La normativa aprueba un convenio de intercambio de información y colaboración institucional entre el SII y la Unidad Administradora de los Tribunales Tributarios y Aduaneros, sin modificar ni establecer procesos generales relacionados con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, operadores, comercio electrónico o PSP. Se trata de un acuerdo institucional y de procedimientos de intercambio de información, no de una regulación que afecte directamente el sistema de cumplimiento normativo automatizado de la fintech.",4.098,3672,122,3794,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 44 del 12 de Junio del 2025,Tablas de impuesto único de segunda categoría para el mes de julio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion De Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu44.pdf,circular,No Relevante,"No cumple reglas de negocio. La normativa se refiere a tablas de impuesto único de segunda categoría y procedimientos de cálculo de tributos personales, sin relación directa con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado de fintech, medios de pago electrónicos, POS, operadores, administradores, comercio electrónico ni PSP.",2.477,2703,82,2785,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 17 del 12 de Febrero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de marzo 2025.,Subdireccion De Fiscalizacion Departamento De Diseno De Procedimientos,https://www.sii.cl/normativa_legislacion/circulares/2025/circu17.pdf,circular,No Relevante,"La circular informa tablas de reajustes y multas aplicables a impuestos adeudados, pero no regula ni modifica procesos relacionados con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores, comercio electrónico ni PSP. Solo entrega información de referencia para el cálculo de sanciones, sin impacto directo en los sistemas automatizados de cumplimiento de la fintech.",2.833,1645,101,1746,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Establece procedimiento para efectuar denuncias anónimas de conformidad al artículo 100 quáter del código tributario,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso59.pdf,resolucion,No Relevante,"La normativa establece el procedimiento para denuncias anónimas de delitos tributarios, pero no regula ni modifica procesos relacionados directamente con boletas, comprobantes electrónicos, registros de compra/venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores, comercio electrónico ni PSP. Se trata de un procedimiento de colaboración ciudadana y no afecta los sistemas de cumplimiento normativo automatizado de la fintech.",4.406,2924,99,3023,No Relevante,Contiene 'donaciones',2025,1,1
