nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 6 del 16 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas al Código Tributario por la Ley N° 21.713 en materia de grupos empresariales y el procedimiento de fiscalización unificado. Complementa la Circular N° 12 de 2021.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu6.pdf,circular,No Relevante,"La normativa se centra en la fiscalización unificada de grupos empresariales, designación de apoderados para efectos de coordinación con el SII, sostenibilidad tributaria y procedimientos de auditoría. No aborda directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico ni PSP, ni modifica procesos generales que afecten el cumplimiento tributario automatizado de una fintech en esos ámbitos. Por tanto, no cumple reglas de negocio para ser considerada relevante.",4.703,7112,117,7229,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 30 del 06 de Marzo del 2025,"Fija nómina de territorios o jurisdicciones que tienen un régimen fiscal preferencial, conforme al Artículo 41 H de la Ley sobre Impuesto a la Renta",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso30.pdf,resolucion,No Relevante,"La normativa fija una nómina de territorios con régimen fiscal preferencial conforme al artículo 41 H de la Ley sobre Impuesto a la Renta, lo que corresponde a un listado y regulación de convenios internacionales para efectos fiscales. No se relaciona directamente con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, comercio electrónico ni PSP, ni modifica procesos generales que afecten el cumplimiento automatizado de la fintech. Por lo tanto, no cumple reglas de negocio.",2.807,1479,122,1601,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 10 del 16 de Enero del 2025,Delega facultad que indica en la funcionaria que se individualiza,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso10.pdf,resolucion,No Relevante,"La resolución trata sobre la delegación de facultades para absolver posiciones en un juicio laboral específico, sin relación directa con boletas, comprobantes electrónicos, registros tributarios, medios de pago, comercio electrónico o cumplimiento tributario general aplicable a fintech. No modifica procesos generales ni afecta el cumplimiento automatizado.",2.106,877,75,952,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 18 del 21 de Febrero del 2025,"Imparte instrucciones sobre la competencia de las Unidades del Servicio para realizar actuaciones que indica de conformidad con las disposiciones del N° 11 de la letra B) del artículo 6°; inciso primero del artículo 65 bis y artículo 65 ter, todos del Código Tributario. Complementa Circular N° 41 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu18.pdf,circular,No Relevante,"La circular se refiere a instrucciones sobre la competencia territorial y procedimientos de fiscalización del Servicio de Impuestos Internos, incluyendo el uso de medios electrónicos para actuaciones administrativas y la implementación del expediente electrónico. Sin embargo, no aborda directamente temas específicos relacionados con boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico, PSP ni inicio de actividades. Tampoco modifica procesos generales que afecten el cumplimiento tributario automatizado de la fintech en los temas definidos. Por lo tanto, no cumple reglas de negocio para ser considerada relevante.",3.601,2715,127,2842,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 52 del 25 de Abril del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso52.pdf,resolucion,No Relevante,"La normativa se refiere a la autorización para que ciertos contribuyentes procedan conforme al modelo de operación de contabilidad electrónica, lo cual es un procedimiento interno relacionado con la contabilidad electrónica y autorización de libros contables. No aborda directamente temas como boletas, comprobantes electrónicos, registro de compra o venta, medios de pago electrónicos, POS, comercio electrónico, PSP ni cumplimiento tributario general aplicable a fintech. Además, se trata de autorizaciones específicas a contribuyentes particulares, sin modificar procesos generales que afecten el cumplimiento automatizado de la fintech. Por lo tanto, no cumple reglas de negocio para ser considerada relevante.",2.844,1908,139,2047,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso56.pdf,resolucion,No Relevante,"La normativa aprueba un convenio de intercambio de información entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos, orientado a la colaboración institucional y el intercambio de datos para mejorar la gestión pública. No aborda directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario específico, medios de pago electrónicos, puntos de venta, comercio electrónico ni PSP, ni modifica procesos generales que afecten el cumplimiento tributario automatizado de una fintech. Por tanto, no cumple las reglas de negocio para ser considerada relevante.",3.504,8515,127,8642,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,"Aprueba Convenio de Intercambio de Información y Colaboración entre la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública y el Servicio de Impuestos Internos.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso82.pdf,resolucion,No Relevante,"La normativa se refiere a un convenio de intercambio de información y colaboración entre órganos administrativos y judiciales tributarios, enfocado en la gestión y fiscalización de causas tributarias y aduaneras. No aborda directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico, PSP ni inicio de actividades, ni modifica procesos generales que afecten el cumplimiento tributario automatizado de una fintech. Por lo tanto, no cumple reglas de negocio para ser considerada relevante.",3.834,3672,118,3790,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 44 del 12 de Junio del 2025,Tablas de impuesto único de segunda categoría para el mes de julio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion De Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu44.pdf,circular,No Relevante,"La normativa se refiere exclusivamente a tablas de cálculo y montos del impuesto único de segunda categoría (IUSC) y aspectos relacionados con la corrección monetaria y tributación de rentas específicas. No aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, medios de pago electrónicos, puntos de venta, operadores, comercio electrónico o PSP, ni modifica procesos generales que afecten el cumplimiento automatizado de la fintech. Por lo tanto, no cumple reglas de negocio.",3.169,2703,118,2821,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 17 del 12 de Febrero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de marzo 2025.,Subdireccion De Fiscalizacion Departamento De Diseno De Procedimientos,https://www.sii.cl/normativa_legislacion/circulares/2025/circu17.pdf,circular,No Relevante,"La normativa se limita a informar tablas de cálculos de reajustes y multas para impuestos, sin abordar temas relacionados con boletas, comprobantes electrónicos, registros, medios de pago, puntos de venta, operadores, comercio electrónico o PSP. No representa un cambio general que afecte el cumplimiento automatizado de la fintech.",7.983,1645,76,1721,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Establece procedimiento para efectuar denuncias anónimas de conformidad al artículo 100 quáter del código tributario,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso59.pdf,resolucion,No Relevante,"La normativa establece un procedimiento para denuncias anónimas relacionadas con delitos tributarios, lo que corresponde a un mecanismo de fiscalización y control interno del SII, sin afectar directamente procesos de boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico, PSP o inicio de actividades. Tampoco modifica procesos generales de cumplimiento tributario automatizado para la fintech, sino que regula un procedimiento específico de denuncia y protección de identidad, por lo que no cumple reglas de negocio para ser considerada relevante.",3.027,2924,121,3045,No Relevante,Contiene 'donaciones',2025,1,1
Circular N° 34 del 25 de Abril del 2025,Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 a los artículos 101 y 206 del Código Tributario. Modifica Circular N° 35 de 2022,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu34.pdf,circular,No Relevante,"La normativa se refiere a sanciones y obligaciones de reserva para funcionarios del SII y otros servicios públicos en relación con el cumplimiento de las leyes tributarias, sin abordar directamente temas relacionados con boletas, comprobantes electrónicos, registros, medios de pago, comercio electrónico o PSP. Tampoco modifica procesos generales que afecten el cumplimiento automatizado de la fintech. Por lo tanto, no cumple reglas de negocio.",2.809,1283,94,1377,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 22 del 11 de Marzo del 2025,Informa tabla de cálculos de reajustes y multas para el mes de abril 2025.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu22.pdf,circular,No Relevante,"La normativa se limita a informar tablas de cálculos de reajustes y multas para impuestos, sin afectar directamente procesos relacionados con boletas, comprobantes electrónicos, registros, medios de pago, puntos de venta, operadores, comercio electrónico o PSP. No modifica procedimientos generales de cumplimiento tributario automatizado para la fintech.",3.375,1698,75,1773,No Relevante,No se encontraron reglas de negocio,2025,0,0
