nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 6 del 16 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas al Código Tributario por la Ley N° 21.713 en materia de grupos empresariales y el procedimiento de fiscalización unificado. Complementa la Circular N° 12 de 2021.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu6.pdf,circular,No Relevante,No cumple reglas de negocio.,2.593,7112,19,7131,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 30 del 06 de Marzo del 2025,"Fija nómina de territorios o jurisdicciones que tienen un régimen fiscal preferencial, conforme al Artículo 41 H de la Ley sobre Impuesto a la Renta",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso30.pdf,resolucion,No Relevante,"La normativa se centra en fijar una nómina de territorios con régimen fiscal preferencial según el artículo 41 H de la Ley sobre Impuesto a la Renta, lo cual no se relaciona directamente con los temas de boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",3.68,1479,100,1579,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 10 del 16 de Enero del 2025,Delega facultad que indica en la funcionaria que se individualiza,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso10.pdf,resolucion,No Relevante,La normativa se refiere a la delegación de facultades para absolver posiciones en un juicio específico y no trata sobre ninguno de los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.,2.656,877,56,933,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 18 del 21 de Febrero del 2025,"Imparte instrucciones sobre la competencia de las Unidades del Servicio para realizar actuaciones que indica de conformidad con las disposiciones del N° 11 de la letra B) del artículo 6°; inciso primero del artículo 65 bis y artículo 65 ter, todos del Código Tributario. Complementa Circular N° 41 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu18.pdf,circular,No Relevante,No cumple reglas de negocio.,1.652,2715,19,2734,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 52 del 25 de Abril del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso52.pdf,resolucion,No Relevante,"La normativa se centra en autorizar a ciertos contribuyentes a operar bajo un modelo de contabilidad electrónica, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",3.504,1908,94,2002,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso56.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa se centra en un convenio de intercambio de información y colaboración entre el Servicio de Registro Civil e Identificación y el Servicio de Impuestos Internos, sin abordar directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP.",3.966,8515,94,8609,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,"Aprueba Convenio de Intercambio de Información y Colaboración entre la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública y el Servicio de Impuestos Internos.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso82.pdf,resolucion,No Relevante,"La normativa se centra en un convenio de intercambio de información y colaboración entre el Servicio de Impuestos Internos y la Unidad Administradora de los Tribunales Tributarios y Aduaneros, y del Tribunal de Contratación Pública. No aborda directamente temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP. Por lo tanto, no cumple con las reglas de negocio establecidas para ser clasificada como relevante.",5.106,3672,125,3797,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 44 del 12 de Junio del 2025,Tablas de impuesto único de segunda categoría para el mes de julio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion De Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu44.pdf,circular,No Relevante,"La normativa se centra en las tablas de impuesto único de segunda categoría y no aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, comercio electrónico, o PSP. No cumple reglas de negocio.",3.326,2703,70,2773,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 17 del 12 de Febrero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de marzo 2025.,Subdireccion De Fiscalizacion Departamento De Diseno De Procedimientos,https://www.sii.cl/normativa_legislacion/circulares/2025/circu17.pdf,circular,No Relevante,"La normativa se centra en informar sobre tablas de cálculos de reajustes y multas, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",3.022,1645,56,1701,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Establece procedimiento para efectuar denuncias anónimas de conformidad al artículo 100 quáter del código tributario,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso59.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa se centra en el procedimiento para efectuar denuncias anónimas de delitos tributarios, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP.",4.452,2924,94,3018,No Relevante,Contiene 'donaciones',2025,1,1
