nombre,explicacion_real,explicacion_predicha,tipo_error,Modelo
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Contiene 'inicio de actividades',"La normativa es relevante porque establece obligaciones para los bancos comerciales relacionadas con el ""inicio de actividades"" de personas jurídicas o entidades empresariales al tramitar solicitudes de crédito o préstamos. Esto afecta el cumplimiento tributario automatizado, ya que los bancos deben verificar y reportar esta información al Servicio de Impuestos Internos (SII), lo cual es un proceso que puede ser automatizado por una fintech.",Falso Positivo,gpt4_knn1
Resolución Exenta SII N° 20 del 20 de Febrero del 2025,Contiene 'boletas electrónicas',"La normativa autoriza la emisión de boletas de servicios en formato electrónico, lo cual se relaciona directamente con el tema de ""boletas"" y ""comprobantes electrónicos"", ambos relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_knn1
Resolución Exenta SII N° 26 del 24 de Febrero del 2025,Contiene 'boletas electrónicas',"La normativa autoriza a EDS Tickets SPA para emitir boletas de servicios en formato electrónico, lo cual se relaciona directamente con el tema de ""boletas"" y ""comprobantes electrónicos"", ambos relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_knn1
Resolución Exenta SII N° 18 del 13 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa es relevante porque se refiere a la información de boletas de prestación de servicios de terceros electrónicas (BTE) y boletas de honorarios electrónicas (BHE), que son tipos de comprobantes electrónicos. Además, la normativa menciona el intercambio de información sobre ingresos por honorarios, lo cual está relacionado con el cumplimiento tributario.",Falso Positivo,gpt4_knn1
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La normativa se relaciona directamente con la obligación de entregar la representación impresa o virtual de la boleta electrónica y/o comprobante de pago electrónico, lo cual está directamente vinculado con los temas de boletas, comprobantes electrónicos, medios de pago electrónicos y cumplimiento tributario.",Falso Positivo,gpt4_knn1
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La normativa se centra en el procedimiento de designación de un apoderado de grupo empresarial para coordinar con el Servicio de Impuestos Internos (SII) en temas de colaboración y cumplimiento tributario. No aborda directamente ninguno de los temas específicos listados como relevantes para el sistema de cumplimiento normativo automatizado de la fintech, como boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico, o PSP.",Falso Negativo,gpt4_knn1
Resolución Exenta SII N° 71 del 19 de Junio del 2025,Contiene 'cumplimiento tributario',"La normativa se relaciona directamente con el cumplimiento tributario, ya que establece un procedimiento para que las empresas certificadoras independientes otorguen certificación anual de sostenibilidad tributaria a los contribuyentes. Esto implica la evaluación de prácticas de cumplimiento tributario responsable y la implementación de un marco de control fiscal, lo cual es relevante para un sistema de cumplimiento normativo automatizado en una fintech.",Falso Positivo,gpt4_knn3
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Contiene 'inicio de actividades',"La normativa es relevante porque establece obligaciones para los bancos comerciales relacionadas con el ""inicio de actividades"" de personas jurídicas o entidades empresariales al tramitar solicitudes de crédito o préstamo. Esto afecta el cumplimiento tributario, ya que los bancos deben verificar y reportar esta información al Servicio de Impuestos Internos (SII), lo cual es un proceso que puede ser automatizado por una fintech.",Falso Positivo,gpt4_knn3
Resolución Exenta SII N° 63 del 22 de Mayo del 2025,No se encontraron reglas de negocio,"La normativa es relevante porque afecta directamente el cumplimiento tributario automatizado de la fintech al establecer un cambio en el sujeto pasivo del IVA para las comisiones pagadas a intermediarios en el modelo de negocio ""Santander en tu barrio"". Esto implica que Banco Santander Chile debe emitir facturas de compra y gestionar la retención y declaración del IVA, lo cual es un proceso que puede ser automatizado y es relevante para el sistema de cumplimiento normativo de la fintech.",Falso Positivo,gpt4_knn3
Resolución Exenta SII N° 20 del 20 de Febrero del 2025,Contiene 'boletas electrónicas',"La normativa autoriza la emisión de boletas de servicios en formato electrónico, lo cual se relaciona directamente con el tema de ""boletas"" y ""comprobantes electrónicos"", ambos relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_knn3
