name,description,source,url
Resolución Exenta SII N° 176 del 31 de Diciembre del 2020,"Imparte instrucciones en relación a la emisión del comprobante o “recibo de pago” generado en transacciones pagadas a través de medios electrónicos, como sustituto de la boleta de ventas y servicios, tanto electrónica como papel y boletas no afectas o exentas, de acuerdo a lo dispuesto por el art. 54 del d.l. N° 825, de 1974. Deja sin efecto Res. Ex. SII N° 5 y N° 55, de 2015, y N° 13 de 2018.",Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso176.pdf
Resolución Exenta SII N° 175 del 31 de Diciembre del 2020,"Fija valores de terrenos y construcciones para el reavalúo 2021, de los bienes raíces no agrícolas correspondientes a sitios no edificados, propiedades abandonadas o pozos lastreros, ubicados en las áreas urbanas.",Fuente: Subdirección de Avaluaciones.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso175.pdf
Resolución Exenta SII N° 174 del 30 de Diciembre del 2020,"Aprueba normas de procedimiento para las solicitudes de aprobación de proyectos de investigación y desarrollo, en el marco del número 3 de la letra c.- del Artículo 41 g, de la Ley sobre Impuesto a la Renta.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso174.pdf
Resolución Exenta SII N° 173 del 30 de Diciembre del 2020,"Aprueba normas de procedimiento para la certificación de acuerdos que se celebren para el financiamiento mediante la participación en pymes, en el marco del régimen pro pyme establecido en la letra d del Artículo 14, de la Ley sobre Impuesto a la Renta.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso173.pdf
Resolución Exenta SII N° 172 del 30 de Diciembre del 2020,Establece forma y plazo para ejercer la opción del incentivo al ahorro a que se refiere la letra e) del Artículo 14 de la Ley sobre Impuesto a la Renta.,Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso172.pdf
Resolución Exenta SII N° 171 del 29 de Diciembre del 2020,"Establece la forma y plazo en que las empresas que sean contribuyentes de la primera categoría y se encuentren sujetas al Artículo 14 letra a) o d) N° 3 de la Ley sobre Impuesto a la Renta, deben certificar el valor de costo para fines tributarios, a la fecha de término de giro, de los bienes que se adjudiquen los propietarios en la disolución o liquidación de aquellas.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso171.pdf
Resolución Exenta SII N° 170 del 29 de Diciembre del 2020,Delega facultad que indica en el funcionario que se individualiza.,Fuente: Subdirección Jurídica.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso170.pdf
Resolución Exenta SII N° 169 del 29 de Diciembre del 2020,"Fija nóminas de agentes retenedores y de contribuyentes sujetos a retención, conforme a Resolución Ex. SII N° 42, de 30 de abril de 2018, que dispuso el cambio de sujeto para el cumplimiento de IVA.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso169.pdf
Resolución Exenta SII N° 168 del 28 de Diciembre del 2020,Fija nómina de Grandes Contribuyentes.,Fuente: Dirección De Grandes Contribuyentes.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso168.pdf
Resolución Exenta SII N° 167 del 28 de Diciembre del 2020,Establece obligación de informar por parte de emisores no bancarios las transacciones con tarjetas de pago según lo que se indica.,Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso167.pdf
Resolución Exenta SII N° 166 del 23 de Diciembre del 2020,Instruye sobre de obligatoriedad de emisión de boletas de honorarios electrónicas e implementa excepciones establecidas en el artículo 68 bis de la Ley de Impuesto a la Renta.,Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso166.pdf
Resolución Exenta SII N° 165 del 22 de Diciembre del 2020,"Modifica fecha de entrada en vigencia de la resolución Ex. SII N° 108 de 2020, que deja sin efecto las instrucciones relativas a vales en reemplazo de boletas y vales electrónicos en reemplazo de la boleta de ventas y servicios en la forma y condiciones que indica.",Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso165.pdf
Resolución Exenta SII N° 164 del 21 de Diciembre del 2020,Autoriza como receptor electrónico de documentos tributarios electrónicos a los organismos públicos que indica.,Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso164.pdf
Resolución Exenta SII N° 163 del 18 de Diciembre del 2020,Dispone procedimiento para el envío de boletas electrónicas de los contribuyentes que cumplan los requisitos que indica.,Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso163.pdf
Resolución Exenta SII N° 162 del 17 de Diciembre del 2020,"Establece obligación de las administradoras de fondos de pensiones de informar, en la forma y plazo que se señala, los montos de los retiros efectuados por los afiliados en conformidad la Ley N° 21.295.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso162.pdf
Resolución Exenta SII N° 161 del 16 de Diciembre del 2020,Instruye sobre la obligación de informar saldos de los registros de rentas empresariales por parte de los contribuyentes que pasan a estar sujetos a los regímenes pro pyme de los N° 3 y 8 de la letra d) del artículo 14 de la Ley sobre Impuesto a la Renta.,Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso161.pdf
Resolución Exenta SII N° 160 del 16 de Diciembre del 2020,"Implementa excepciones establecidas en el inciso segundo del Artículo 54 de la Ley sobre impuesto a las ventas y servicios, referente a la obligación de emitir documentos tributarios electrónicos, en la forma que indica. Deja sin efecto Resolución Ex. SII N° 72 de 31.07.2014.",Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso160.pdf
Resolución Exenta SII N° 159 del 15 de Diciembre del 2020,Autoriza como receptor electrónico de documentos tributarios electrónicos a los organismos públicos que indica.,Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso159.pdf
Resolución Exenta SII N° 158 del 15 de Diciembre del 2020,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala.,Fuente: Subdirección de Asistencia al Contribuyente.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso158.pdf
Resolución Exenta SII N° 157 del 15 de Diciembre del 2020,"Imparte reglas especiales para determinación y puesta a disposición de los pagos provisionales mensuales que deberán efectuar las empresas acogidas al régimen pro pyme del Artículo 14 letra d) N°3 letra k) y N° 8 letra a) numeral viii, ambos de la Ley sobre Impuesto a la Renta.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/resoluciones/2020/reso157.pdf
